Year,Experiment name,Field,X,Y,Plot length,Plot rows,Row Spacing,Final population,Planting rate,Plot number,Rep,Barcode,Trt,Trt Description,Placement,Timing,TrtByV6,Hybrid,Plot Notes,V6NDVI
2020,N sidedress timing,C800,285,8,37.5,2,30,36000,37895,3018,3,20349B3018,9,90 Band + 90 @ V12,Band,V12,90 Band,DKC64-34,,0.561581818
2020,N sidedress timing,C800,289,8,37.5,2,30,36000,37895,3019,3,20349B3019,10,90 Band + 90 @ R1,Band,R1,90 Band,DKC66-17,,0.530037037
2020,N sidedress timing,C800,293,8,37.5,2,30,36000,37895,3020,3,20349B3020,5,90 Broad + 90 @ R1,Broad,R1,90 Broad,DKC61-40,,0.560066667
2020,N sidedress timing,C800,297,8,37.5,2,30,36000,37895,3021,3,20349B3021,10,90 Band + 90 @ R1,Band,R1,90 Band,DKC63-90,,0.532219048
2020,N sidedress timing,C800,301,8,37.5,2,30,36000,37895,3022,3,20349B3022,4,90 Broad + 90 @ V12,Broad,V12,90 Broad,DKC64-34,,0.57404717
2020,N sidedress timing,C800,305,8,37.5,2,30,36000,37895,3023,3,20349B3023,10,90 Band + 90 @ R1,Band,R1,90 Band,DKC61-40,,0.565320755
2020,N sidedress timing,C800,309,8,37.5,2,30,36000,37895,3024,3,20349B3024,2,90 Broad + 90 @ V4,Broad,V4,90 Broad + 90 @ V4,DKC63-90,,0.510952381
2020,N sidedress timing,C800,313,8,37.5,2,30,36000,37895,3025,3,20349B3025,1,180 Broad,Broad,Pre,180 Broad,DKC66-17,,0.538514286
2020,N sidedress timing,C800,317,8,37.5,2,30,36000,37895,3026,3,20349B3026,1,180 Broad,Broad,Pre,180 Broad,DKC61-40,,0.541554455
2020,N sidedress timing,C800,321,8,37.5,2,30,36000,37895,3027,3,20349B3027,5,90 Broad + 90 @ R1,Broad,R1,90 Broad,DKC64-34,,0.583386792
2020,N sidedress timing,C800,325,8,37.5,2,30,36000,37895,3028,3,20349B3028,1,180 Broad,Broad,Pre,180 Broad,DKC64-34,,0.563135922
2020,N sidedress timing,C800,329,8,37.5,2,30,36000,37895,3029,3,20349B3029,6,90 Broad + 90 Band,Band,Pre,90 Broad + 90 Band,DKC66-17,,0.51439
2020,N sidedress timing,C800,333,8,37.5,2,30,36000,37895,3030,3,20349B3030,9,90 Band + 90 @ V12,Band,V12,90 Band,DKC66-17,,.
2020,N sidedress timing,C800,337,8,37.5,2,30,36000,37895,3031,3,20349B3031,3,90 Broad + 90 @ V8,Broad,V8,90 Broad,DKC61-40,,.
2020,N sidedress timing,C800,341,8,37.5,2,30,36000,37895,3032,3,20349B3032,4,90 Broad + 90 @ V12,Broad,V12,90 Broad,DKC61-40,,.
2020,N sidedress timing,C800,341,9,37.5,2,30,36000,37895,3033,3,20349B3033,3,90 Broad + 90 @ V8,Broad,V8,90 Broad,DKC63-90,,.
2020,N sidedress timing,C800,337,9,37.5,2,30,36000,37895,3034,3,20349B3034,6,90 Broad + 90 Band,Band,Pre,90 Broad + 90 Band,DKC63-90,,.
2020,N sidedress timing,C800,333,9,37.5,2,30,36000,37895,3035,3,20349B3035,4,90 Broad + 90 @ V12,Broad,V12,90 Broad,DKC63-90,,.
2020,N sidedress timing,C800,329,9,37.5,2,30,36000,37895,3036,3,20349B3036,1,180 Broad,Broad,Pre,180 Broad,DKC63-90,,0.536565657
2020,N sidedress timing,C800,325,9,37.5,2,30,36000,37895,3037,3,20349B3037,7,90 Band + 90 @ V4,Band,V4,90 Band + 90 @ V4,DKC61-40,,0.554619048
2020,N sidedress timing,C800,321,9,37.5,2,30,36000,37895,3038,3,20349B3038,6,90 Broad + 90 Band,Band,Pre,90 Broad + 90 Band,DKC64-34,,0.580914286
2020,N sidedress timing,C800,317,9,37.5,2,30,36000,37895,3039,3,20349B3039,5,90 Broad + 90 @ R1,Broad,R1,90 Broad,DKC63-90,,0.544068627
2020,N sidedress timing,C800,313,9,37.5,2,30,36000,37895,3040,3,20349B3040,8,90 Band + 90 @ V8,Band,V8,90 Band,DKC63-90,,0.517037037
2020,N sidedress timing,C800,309,9,37.5,2,30,36000,37895,4001,4,20349B4001,7,90 Band + 90 @ V4,Band,V4,90 Band + 90 @ V4,DKC66-17,,0.515782178
2020,N sidedress timing,C800,305,9,37.5,2,30,36000,37895,4002,4,20349B4002,1,180 Broad,Broad,Pre,180 Broad,DKC64-34,,0.597165138
2020,N sidedress timing,C800,301,9,37.5,2,30,36000,37895,4003,4,20349B4003,8,90 Band + 90 @ V8,Band,V8,90 Band,DKC61-40,,0.556628571
2020,N sidedress timing,C800,297,9,37.5,2,30,36000,37895,4004,4,20349B4004,9,90 Band + 90 @ V12,Band,V12,90 Band,DKC63-90,,0.535
2020,N sidedress timing,C800,293,9,37.5,2,30,36000,37895,4005,4,20349B4005,6,90 Broad + 90 Band,Band,Pre,90 Broad + 90 Band,DKC64-34,,0.562292453
2020,N sidedress timing,C800,289,9,37.5,2,30,36000,37895,4006,4,20349B4006,1,180 Broad,Broad,Pre,180 Broad,DKC63-90,,0.54853211
2020,N sidedress timing,C800,285,9,37.5,2,30,36000,37895,4007,4,20349B4007,3,90 Broad + 90 @ V8,Broad,V8,90 Broad,DKC61-40,,0.586309091
2020,N sidedress timing,C800,281,9,37.5,2,30,36000,37895,4008,4,20349B4008,9,90 Band + 90 @ V12,Band,V12,90 Band,DKC64-34,,0.591561905
2020,N sidedress timing,C800,281,10,37.5,2,30,36000,37895,4009,4,20349B4009,6,90 Broad + 90 Band,Band,Pre,90 Broad + 90 Band,DKC63-90,,0.5748
2020,N sidedress timing,C800,285,10,37.5,2,30,36000,37895,4010,4,20349B4010,4,90 Broad + 90 @ V12,Broad,V12,90 Broad,DKC63-90,,0.569857143
2020,N sidedress timing,C800,289,10,37.5,2,30,36000,37895,4011,4,20349B4011,9,90 Band + 90 @ V12,Band,V12,90 Band,DKC66-17,,0.59412844
2020,N sidedress timing,C800,293,10,37.5,2,30,36000,37895,4012,4,20349B4012,3,90 Broad + 90 @ V8,Broad,V8,90 Broad,DKC66-17,,0.562147059
2020,N sidedress timing,C800,297,10,37.5,2,30,36000,37895,4013,4,20349B4013,7,90 Band + 90 @ V4,Band,V4,90 Band + 90 @ V4,DKC64-34,,0.594349057
2020,N sidedress timing,C800,301,10,37.5,2,30,36000,37895,4014,4,20349B4014,5,90 Broad + 90 @ R1,Broad,R1,90 Broad,DKC64-34,,0.598057143
2020,N sidedress timing,C800,305,10,37.5,2,30,36000,37895,4015,4,20349B4015,8,90 Band + 90 @ V8,Band,V8,90 Band,DKC64-34,,0.598881818
2020,N sidedress timing,C800,309,10,37.5,2,30,36000,37895,4016,4,20349B4016,3,90 Broad + 90 @ V8,Broad,V8,90 Broad,DKC63-90,,0.577826923
2020,N sidedress timing,C800,313,10,37.5,2,30,36000,37895,4017,4,20349B4017,2,90 Broad + 90 @ V4,Broad,V4,90 Broad + 90 @ V4,DKC61-40,,0.579936364
2020,N sidedress timing,C800,317,10,37.5,2,30,36000,37895,4018,4,20349B4018,10,90 Band + 90 @ R1,Band,R1,90 Band,DKC61-40,,0.562539216
2020,N sidedress timing,C800,321,10,37.5,2,30,36000,37895,4019,4,20349B4019,8,90 Band + 90 @ V8,Band,V8,90 Band,DKC63-90,,0.551990909
2020,N sidedress timing,C800,325,10,37.5,2,30,36000,37895,4020,4,20349B4020,7,90 Band + 90 @ V4,Band,V4,90 Band + 90 @ V4,DKC63-90,,0.550715686
2020,N sidedress timing,C800,329,10,37.5,2,30,36000,37895,4021,4,20349B4021,9,90 Band + 90 @ V12,Band,V12,90 Band,DKC61-40,,0.591848485
2020,N sidedress timing,C800,333,10,37.5,2,30,36000,37895,4022,4,20349B4022,5,90 Broad + 90 @ R1,Broad,R1,90 Broad,DKC66-17,,.
2020,N sidedress timing,C800,337,10,37.5,2,30,36000,37895,4023,4,20349B4023,7,90 Band + 90 @ V4,Band,V4,90 Band + 90 @ V4,DKC61-40,,.
2020,N sidedress timing,C800,341,10,37.5,2,30,36000,37895,4024,4,20349B4024,6,90 Broad + 90 Band,Band,Pre,90 Broad + 90 Band,DKC66-17,,.
2020,N sidedress timing,C800,341,11,37.5,2,30,36000,37895,4025,4,20349B4025,10,90 Band + 90 @ R1,Band,R1,90 Band,DKC66-17,,.
2020,N sidedress timing,C800,337,11,37.5,2,30,36000,37895,4026,4,20349B4026,10,90 Band + 90 @ R1,Band,R1,90 Band,DKC63-90,,.
2020,N sidedress timing,C800,333,11,37.5,2,30,36000,37895,4027,4,20349B4027,5,90 Broad + 90 @ R1,Broad,R1,90 Broad,DKC61-40,,.
2020,N sidedress timing,C800,329,11,37.5,2,30,36000,37895,4028,4,20349B4028,1,180 Broad,Broad,Pre,180 Broad,DKC61-40,,0.585257426
2020,N sidedress timing,C800,325,11,37.5,2,30,36000,37895,4029,4,20349B4029,4,90 Broad + 90 @ V12,Broad,V12,90 Broad,DKC64-34,,0.576349057
2020,N sidedress timing,C800,321,11,37.5,2,30,36000,37895,4030,4,20349B4030,1,180 Broad,Broad,Pre,180 Broad,DKC66-17,,0.552485981
2020,N sidedress timing,C800,317,11,37.5,2,30,36000,37895,4031,4,20349B4031,6,90 Broad + 90 Band,Band,Pre,90 Broad + 90 Band,DKC61-40,,0.567028037
2020,N sidedress timing,C800,313,11,37.5,2,30,36000,37895,4032,4,20349B4032,10,90 Band + 90 @ R1,Band,R1,90 Band,DKC64-34,,0.567990826
2020,N sidedress timing,C800,309,11,37.5,2,30,36000,37895,4033,4,20349B4033,4,90 Broad + 90 @ V12,Broad,V12,90 Broad,DKC66-17,,0.545583333
2020,N sidedress timing,C800,305,11,37.5,2,30,36000,37895,4034,4,20349B4034,8,90 Band + 90 @ V8,Band,V8,90 Band,DKC66-17,,0.543425926
2020,N sidedress timing,C800,301,11,37.5,2,30,36000,37895,4035,4,20349B4035,4,90 Broad + 90 @ V12,Broad,V12,90 Broad,DKC61-40,,0.537701923
2020,N sidedress timing,C800,297,11,37.5,2,30,36000,37895,4036,4,20349B4036,2,90 Broad + 90 @ V4,Broad,V4,90 Broad + 90 @ V4,DKC66-17,,0.55337037
2020,N sidedress timing,C800,293,11,37.5,2,30,36000,37895,4037,4,20349B4037,5,90 Broad + 90 @ R1,Broad,R1,90 Broad,DKC63-90,,0.53464486
2020,N sidedress timing,C800,289,11,37.5,2,30,36000,37895,4038,4,20349B4038,2,90 Broad + 90 @ V4,Broad,V4,90 Broad + 90 @ V4,DKC63-90,,0.582380531
